Bins,(1) LMTK 0%,(2) LMTK 1%,(3) LMTK 2%,(4) LMTK 5%,(5) LMTK 10%
100 - <105.0,12.7,15.94,17.2,14.71,12.03
105.0 - <110.0,13.33,8.7,16.13,12.94,9.97
110.0 - <115.0,8.25,10.14,10.75,10.0,10.31
115.0 - <120.0,6.03,11.59,6.45,4.12,7.9
120.0 - <125.0,5.08,7.25,10.75,7.65,6.19
125.0 - <130.0,3.17,10.14,7.53,4.71,3.09
130.0 - <135.0,5.08,2.9,1.08,4.71,4.12
135.0 - <140.0,5.4,4.35,2.15,3.53,6.53
140.0 - <145.0,3.17,5.8,2.15,4.71,1.72
145.0 - <150.0,3.49,4.35,0.0,4.71,2.06
150.0 - <155.0,3.17,4.35,5.38,3.53,3.09
155.0 - <160.0,2.54,0.0,2.15,1.18,4.81
160.0 - <165.0,1.27,0.0,1.08,4.12,3.09
165.0 - <170.0,2.22,1.45,0.0,1.18,1.72
170.0 - <175.0,1.9,1.45,1.08,2.35,2.75
175.0 - <180.0,0.95,0.0,1.08,2.35,2.41
180.0 - <185.0,2.54,0.0,1.08,1.76,0.69
185.0 - <190.0,0.95,0.0,0.0,2.35,1.37
190.0 - <195.0,1.27,1.45,1.08,0.0,2.06
195.0 - <200.0,1.27,0.0,1.08,1.18,1.72
